Type,PageID,PageURL,PageName,StudyGroup,MessageParentID,MessageID,EntryDate,UserName,Comment,ImageURL
COMMENT,1284,/intro-3dl-21/unit-4/step-06-analyzing-science-discussion-thinking,Step 6: Analyzing a Fourth Grade Science Discussion: Student Thinking,20129 VT VINS Cohort 2,0,6895,2019-08-14 15:41:00pm EDT,ChFranske,The step most illuminating to was the look at the science practices being used.  Here we can see evidence of students engaging in real science.  A skilled facilitator would be able to take these conversations and use them to help students continue to develop their thinking and reasoning behind the science concepts they are learning about it class.,Not implemented
COMMENT,1284,/intro-3dl-21/unit-4/step-06-analyzing-science-discussion-thinking,Step 6: Analyzing a Fourth Grade Science Discussion: Student Thinking,20129 VT VINS Cohort 2,0,6898,2019-08-14 15:42:30pm EDT,NaSutton,"Focusing on productive talk was helpful because it showed a model of what it can look like in a classroom.   It also indicated the very clear and explicit ways that a teacher can facilitate that type of talk.  It gave examples of tools I can use.  It was helpful to see the practices and how they are so integrated with each other\, and to have another model of how they can look like in action.  Focusing in on one student was a reminder that (even if it might be easy to pass over a student&#039;s muddled and unclear explanation)\, that student has plenty to contribute\, and may need support and structures to help their voice be heard.<br /><br />The first step was most illuminating to me\, because I was struck by how clearly and obvious the teacher was in establishing and pointing the students towards discussion goals.  I want to learn from that in my own classroom.  The goals were very clear through the teacher&#039;s facilitation.",Not implemented
COMMENT,1284,/intro-3dl-21/unit-4/step-06-analyzing-science-discussion-thinking,Step 6: Analyzing a Fourth Grade Science Discussion: Student Thinking,20129 VT VINS Cohort 2,0,6899,2019-08-14 15:42:58pm EDT,GeGarrett,"Focusing on each of the three angles helped me to understand the many different ways in which this conversation was going well. It sounded like productive talk from the beginning\, but when we looked closer it also included lots of scientific practices\, presumably indicating a valuable discussion\, and diving into one student&#039;s turn allowed us to see that even a response which felt less clear on the surface was still indicative of a productive conversation because that student really did have a clear claim\, was using scientific practices and knew what he was talking about.<br /><br /><br /><br />I appreciated the focus on Mathais&#039;s turn because I think it can be very easy in our classrooms to skim over students who respond like this or to rush them along. (Our students do both of those things to each other as well.)  I appreciated that no one rushed him and that students were clearly still engaging with what he said rather than checking out because he sounded less clear - several students raised their hands to respond to him and the student who spoke next was clear that they were both agreeing that volume\, rather than weight was responsible. ",Not implemented
COMMENT,1284,/intro-3dl-21/unit-4/step-06-analyzing-science-discussion-thinking,Step 6: Analyzing a Fourth Grade Science Discussion: Student Thinking,20129 VT VINS Cohort 2,0,6900,2019-08-14 15:43:05pm EDT,RoStainton,"All the steps were really illuminating. The first showed how good discussion is established and encouraged. The second shows how many of the practices come out in small snippets and indicate a students developing understanding and proficiency in science and engineering practices. The last one illuminates how easy it could be to miss a students understanding in a discussion. The student gave a good response to the initial prompt\, but missed a key word\, that if missed could easily change the teachers understanding of the students progress.",Not implemented
COMMENT,1284,/intro-3dl-21/unit-4/step-06-analyzing-science-discussion-thinking,Step 6: Analyzing a Fourth Grade Science Discussion: Student Thinking,20129 VT VINS Cohort 2,0,6901,2019-08-14 15:43:27pm EDT,AmJenkyn,"Productive talk showed me that all of the students were engaged. They were demonstrating their learning orally\, which could be used as a formative assessment. There were many scientific practices used throughout this session: especially Explanation\, Asking Questions\, and Argumentation. Focusing on one student&#039;s turn was the most valuable part for me\, as this is a challenge I come upon with younger learners. I frequently have to think very\, very hard about what they are trying to say. This practice showed me that even when they seem like they might not understand\, that their actually could be understanding going on. I actually see this as an issue of equity. It&#039;s not fair to have assumptions about our students.",Not implemented
COMMENT,1284,/intro-3dl-21/unit-4/step-06-analyzing-science-discussion-thinking,Step 6: Analyzing a Fourth Grade Science Discussion: Student Thinking,20129 VT VINS Cohort 2,0,6902,2019-08-14 15:43:42pm EDT,MePowell,It helped to see through the stutters to get to his point. All three were very helpful because they helped get to the end point of figuring out what the student&#039;s thought process was. The most illuminating was the focusing in on the student. You can assume he didn&#039;t know what he wanted to say because of all the stutters and &quot;ums&quot; but if you take those out you can see that he really knew what he wanted to say to the group. This skill will be very helpful to pay attention to as a teacher and trying to facilitate group discussions. ,Not implemented
COMMENT,1284,/intro-3dl-21/unit-4/step-06-analyzing-science-discussion-thinking,Step 6: Analyzing a Fourth Grade Science Discussion: Student Thinking,20129 VT VINS Cohort 2,0,6903,2019-08-14 15:43:48pm EDT,KrRzemien,The first step helped you see how the teacher was guiding and prompting the discussion to ensure a productive conversation.  The second step helped you see the many types of scientific practices that could occur in a single discussion.  The third step helped you to have empathy/patience for yourself and your students as you practice productive talk.  I particularly found the first step the most illuminating since it highlighted simple ways (with practice) to encourage productive discussion.,Not implemented
COMMENT,1284,/intro-3dl-21/unit-4/step-06-analyzing-science-discussion-thinking,Step 6: Analyzing a Fourth Grade Science Discussion: Student Thinking,20129 VT VINS Cohort 2,0,6904,2019-08-14 15:44:35pm EDT,KaGingras,Looking at the three steps I thought it was interesting that we could really pick it a part.  I was able to see good productive talk and what that looks and sounds like along with really focusing on the scientific practices.  I see that it can really be a nice flow between the criteria of productive talk and a flow between the eight scientific practices. Really slowing down and analyzing what a particular student said was eye opening.  I was very confused with his words but once we took a closer look it made sense.  I think that the most illuminating step for me was number 3 because I was thinking that he was more focused on the weight and not the volume.  This activity was very helpful.,Not implemented
COMMENT,1284,/intro-3dl-21/unit-4/step-06-analyzing-science-discussion-thinking,Step 6: Analyzing a Fourth Grade Science Discussion: Student Thinking,20129 VT VINS Cohort 2,0,6905,2019-08-14 15:44:40pm EDT,MiHarper,"How did the three different steps help you see more\, in different ways?<br /><br />Looking at productive talk helped me to view each individual&#039;s role in creating a rich discussion in the classroom that furthered understanding. Looking at the practices helped me to focus in on what I should be seeing\, scientifically\, during the discussion period. Examining one student&#039;s turn helped me to look deeply into meaning in terms of &quot;kid language&quot; and how a student might search for words but really have something valuable to say. <br /><br />Which step was the most illuminating for you?  Why?<br /><br />I personally learned the most from looking into each person&#039;s role in a discussion. It&#039;s very helpful to watch a teacher skillfully remind students of protocol while simultaneously clarifying and deepening the discussion.",Not implemented
COMMENT,1284,/intro-3dl-21/unit-4/step-06-analyzing-science-discussion-thinking,Step 6: Analyzing a Fourth Grade Science Discussion: Student Thinking,20129 VT VINS Cohort 2,0,6906,2019-08-14 15:45:38pm EDT,SaDeCuollo,"Throughout the time in which we used the &quot;productive talk&quot; lens\, I found it really helpful to pay careful attention to the talk moves that the teacher was using. Her language was simple\, firm\, and to the point. For example\, the teacher says\, &quot;Let&#039;s make sure everyone&#039;s looking at Mathias to show that we are listening to him.&quot; Her direct and clear statement reminds me of Lemov&#039;s moves in &quot;Teach Like a Champion.&quot; She is very clear in what students should do and reinforces an expectation of effective classroom discussion early on. When we used the &quot;Science Practices&quot; lens\, I found it fun to really find out those places where students were beginning to conduct their own investigations. What a time to celebrate as a teacher! Finally\, when we use the &quot;zoom in&quot; lens to look at Mathais&#039; talk\, I found that honoring every single student contribution is what matters most. I feel that listening to one another is one of the best gifts we can give to another person. Listening to someone can empower others to feel safe and to build confidence\, and it is through this lens that I found to be the most illuminating. ",Not implemented
